airport_code,latitude,longitude
00A,40.070985,-74.933689
00AA,38.704022,-101.473911
00AK,59.947733,-151.692524
00AL,34.86479949951172,-86.77030181884766
00AN,59.093287,-156.456699
00AR,38.968768,-97.602305
00AS,34.9428028,-97.8180194
00AZ,34.305599212646484,-112.16500091552734
00C,37.203201,-107.869003
00CA,35.35474,-116.885329
00CL,39.427188,-121.763427
00CN,32.7273736,-116.4597417
00F,45.470462,-105.457145
00FA,28.64550018310547,-82.21900177001953
00FL,27.230899810791016,-80.96920013427734
00GA,33.76750183105469,-84.06829833984375
00GE,33.887982,-84.736983
00HI,19.832881,-155.978347
00ID,48.145301818847656,-116.21399688720705
00IG,39.724028,-101.395994
00IL,41.978401,-89.560402
00IN,41.51139831542969,-87.2605972290039
00IS,40.02560043334961,-89.1229019165039
00KS,38.72779846191406,-94.93049621582033
00KY,37.409400939941406,-84.61969757080078
00LA,30.191944,-90.980833
00LL,39.66529846191406,-89.70559692382812
00LS,30.136299,-92.429398
00M,31.953728,-89.23527
00MD,38.75709915161133,-75.75379943847656
00MI,43.94940185546875,-86.41670227050781
00MN,46.29999923706055,-95.70030212402344
00MO,37.202800750732,-94.412399291992
00MT,45.675,-110.52515
00N,39.472998,-75.184346
00NC,36.08520126342773,-78.37139892578125
00NJ,40.52090072631836,-74.47460174560547
00NK,44.8118612,-73.3698057
00NR,35.594729,-75.470002
00NY,42.89576,-77.495263
00OH,39.203055,-84.670558
00OI,39.745091,-84.187278
00OK,36.198598,-96.217693
00OR,44.932899475097656,-123.12999725341795
00PA,39.94889831542969,-75.74690246582031
00PN,41.2995,-80.211111
00R,30.6859,-95.017899
00S,44.181466,-122.086
00SC,34.0093994140625,-80.26719665527344
00SD,44.809158,-96.498897
00TA,29.935694,-93.9855
00TE,32.847599029541016,-97.1894989013672
00TN,36.120451,-86.359532
00TS,32.607601165771484,-97.24199676513672
00TT,34.516606,-99.93694
00TX,32.544452,-95.67313
00U,45.744416,-107.660472
00VA,36.574964,-78.998437
00VI,36.66329956054688,-80.49949645996094
00W,46.672884,-117.441933
00WA,47.17839813232422,-122.77200317382812
00WI,44.304298400878906,-89.05010223388672
00WN,46.25,-117.2490005493164
00WV,38.82889938354492,-79.86609649658203
00WY,42.840361,-106.224443
00XA,30.224,-96.01417
00XS,27.575763,-98.600735
01A,62.940833,-152.269722
01AA,62.031757,-158.234251
01AK,60.1058739754,-149.446249008
01AL,32.94599914550781,-86.51390075683594
01AN,61.649095,-149.339025
01AR,34.047456,-94.354023
01AZ,34.607406,-111.8609
01B,41.333056,-85.7675
01CA,34.368241,-117.370059
01CL,38.7999,-120.734001
01CO,39.24530029296875,-106.24600219726562
01CT,41.62730026245117,-72.72750091552734
01D,41.403599,-85.7061
01E,41.700001,-85.039299
01F,41.552222,-84.917222
01FA,28.589399337768555,-81.14420318603516
01FD,28.666639,-81.3697
01FL,28.78190040588379,-81.1592025756836
01G,42.741453,-78.052646
01GA,32.47930145263672,-84.9791030883789
01GE,32.675106,-82.771055
01H,41.206112,-86.404442
01ID,42.6082,-112.031998
01II,39.8849983215332,-86.50669860839844
01IL,40.45859909057617,-87.65950012207031
01IN,40.13090133666992,-85.69580078125
01IS,39.01620101928711,-90.31819915771484
01J,30.685568,-81.906346
01K,37.036132,-97.58533
01KS,38.54059982299805,-97.00330352783205
01KY,37.051700592041016,-88.64689636230469
01L,41.228889,-86.581667
01LA,32.638999938964844,-91.77369689941406
01LL,38.12580108642578,-89.46389770507812
01LS,30.722478,-91.077372
01M,34.490924,-88.200996
01MA,42.625099182128906,-71.18009948730469
01MD,38.999199,-76.456001
01ME,46.778900146484375,-68.50029754638672
01MI,43.04949951171875,-83.67970275878906
01MN,47.899600982666016,-92.55740356445312
01MO,38.641700744628906,-90.48429870605467
01MT,48.789100646972656,-114.87999725341795
01MU,32.196747,-110.775142
01NC,34.47529983520508,-77.5813980102539
01NH,43.6445,-72.086998
01NJ,40.739956,-74.136128
01NM,33.008611,-104.540278
01NR,34.196264,-77.919917
01NV,38.76390075683594,-119.0270004272461
01NY,41.692415,-73.93683
01OH,39.497455,-84.313851
01OI,40.730267,-82.802022
01OK,35.895353,-96.026122
01OL,34.391667,-96.690833
01OR,45.319519,-118.105363
01PA,40.36302,-79.165909
01PN,40.93059921264648,-77.73889923095703
01PS,41.59590148925781,-76.02960205078125
01SC,35.032100677490234,-81.25279998779297
01TA,32.69419860839844,-97.11579895019533
01TE,32.737598,-96.428001
01TN,34.99589920043945,-89.73059844970703
01TS,31.565251,-96.546095
01TT,29.012067,-95.402119
01TX,33.170477,-98.622361
01U,38.849785,-115.634987
01UT,38.30830001831055,-109.39600372314452
01VA,39.125,-77.9250030518
01WA,46.66320037841797,-123.81199645996094
01WI,44.009328,-90.38993
01WN,48.2134017944336,-122.68499755859376
01WT,47.518178,-122.210908
01WY,44.348312,-104.8106
01XA,30.007222,-97.853333
01XS,32.020198822021484,-95.74549865722656
02A,32.850498,-86.611397
02AA,61.506147,-149.912825
02AK,61.876907,-150.097626
02AL,30.37150001525879,-87.76439666748047
02AN,59.704223,-151.295869
02AR,34.116945,-93.6965
02AZ,32.522268,-111.334291
02C,43.090222,-88.17816
02CA,33.58250045776367,-118.12899780273438
02CD,34.129600524902344,-90.52400207519533
02CL,34.761101,-119.058998
02CO,37.64329910279999,-106.04699707
02CT,41.91960144042969,-72.44450378417969
02D,41.223056,-85.830556
02FA,28.526699,-81.874802
02FD,30.950976,-86.635555
02FL,28.015042,-82.138504
02G,40.673302,-80.641403
02GA,34.202598571777344,-83.42900085449219
02GE,34.17530059814453,-84.92440032958984
02HI,21.35839,-157.94789
02IA,42.05609893798828,-93.87799835205078
02ID,44.55550003051758,-115.30500030517578
02II,40.06230163574219,-86.21050262451172
02IN,40.20890045166016,-85.54080200195312
02IS,42.274600982666016,-87.9572982788086
02KS,39.221416,-96.057072
02KT,38.181441,-83.443319
02KY,38.190282,-84.906442
02LA,32.531491,-93.659939
02LS,30.14830017089844,-91.91899871826172
02MA,41.419601,-70.927002
02MD,38.672544,-76.709739
02ME,43.537467,-70.930685
02MI,43.15710067749024,-85.14849853515625
02MN,45.629736,-93.174972
02MO,39.04999923706055,-91.03350067138672
02MS,34.095701,-90.846131
02MT,47.980443,-104.70888
02NE,41.074501037597656,-96.90450286865234
02NH,44.65710067749024,-71.21910095214844
02NJ,40.55730056762695,-74.46710205078125
02NM,32.09071,-108.870735
02NR,35.592197,-77.377372
02NV,41.299551,-118.926709
02NY,43.132598876953125,-75.65550231933594
02OH,41.37639999389648,-83.08329772949219
02OI,41.80199813842773,-80.56539916992188
02OK,36.618888,-97.535
02OL,34.811412,-95.307727
02OR,45.68149948120117,-121.31600189208984
02P,40.403596,-77.556602
02PA,40.438301,-79.769997
02PN,40.06959915161133,-75.4552001953125
02RI,41.457931,-71.304886
02SC,32.760211,-81.225872
02T,45.76910018920898,-112.98200225830078
02TA,28.722177,-95.875813
02TE,32.39540100097656,-96.86419677734376
02TN,35.780355,-86.585521
02TS,28.662641,-98.723095
02TX,31.612723,-94.647583
02UT,41.369336,-113.841019
02VA,38.43569946289063,-77.8572006225586
02VG,36.63880157470703,-82.11669921875
02WA,47.15230178833008,-122.09400177001952
02WI,45.03189849853516,-92.65579986572266
02WN,48.74580001831055,-119.31900024414062
02XA,33.591319,-95.882864
03AA,61.556055,-149.284527
03AK,60.72722244262695,-151.13278198242188
03AL,34.662604,-86.046774
03AN,61.43482,-148.765569
03AR,34.357601165771484,-92.78849792480467
03AZ,31.430971,-110.088087
03B,37.126834,-92.621594
03CA,32.779484,-117.006952
03CO,38.098042,-106.08976
03D,40.4473,-92.226997
03FA,27.353099822998047,-81.40809631347656
03FL,26.683716,-80.186561
03G,42.020493,-80.071034
03GA,32.561626,-81.85509
03GE,34.523153,-83.975058
03IA,41.141411,-95.194381
03ID,44.793965,-116.531543
03II,37.9620018005,-87.7789001465
03IL,41.40230178833008,-87.81670379638672
03IN,40.18000030517578,-86.01249694824219
03IS,38.904999,-90.173401
03KS,39.86470031738281,-95.26409912109376
03KY,37.796085,-87.53859
03LA,30.19960021972656,-91.12789916992188
03LS,32.15900039672852,-91.70800018310548
03M,44.3209,-69.889503
03MA,42.393431,-72.551553
03MD,39.518427,-76.346022
03ME,44.084251,-70.626905
03MI,43.550899505615234,-83.86219787597656
03MN,43.62519836425781,-95.22470092773438
03MO,39.288831,-93.992421
03MS,32.31880187988281,-90.8832015991211
03MT,47.267327,-111.71748
03MU,38.4925,-94.412498
03NC,34.104236,-77.905855
03ND,48.62639999389648,-97.8290023803711
03NE,41.5463981628418,-99.3311996459961
03NH,42.81539916992188,-71.12439727783203
03NJ,40.903483,-74.165493
03NM,36.862377,-104.442853
03NR,35.63027,-78.50392
03NV,40.58440017700195,-115.2979965209961
03NY,40.958308,-72.717326
03OH,41.416933,-83.018339
03OI,41.420312,-81.599552
03OK,36.041259,-96.161517
03OL,35.012334,-97.702735
03OR,45.85540008544922,-117.48400115966795
03PA,40.162899017333984,-75.4656982421875
03PN,41.066861,-76.180806
03PR,39.065931,-94.938417
03S,45.401629,-122.228771
03SC,33.8650016784668,-78.66190338134766
03TA,31.9967501,-102.1009444
03TE,27.490812,-98.669615
03TN,35.92250061035156,-83.57939910888672
03TS,31.4658,-100.43397
03TT,29.632117,-95.932481
03TX,29.580929,-95.30508
03UT,37.114384,-109.99014
03VA,38.21661,-77.49555
03WA,47.408199310302734,-117.37200164794922
03WI,43.32478,-87.92828
03WN,45.875,-120.66999816894533
03WT,48.524894,-122.912394
03XA,31.7574,-106.346895
03XS,31.318099975585938,-100.75399780273438
04A,31.7363,-86.262497
04AA,60.535833,-150.811387
04AL,33.62639999,-85.96720123
04AN,61.737511,-148.700724
04AR,34.574319,-92.586047
04AZ,35.721776,-114.450539
04CA,34.566631,-117.670666
04CL,33.08169937133789,-116.44100189208984
04CT,41.75510025024414,-73.05239868164062
04FA,25.55870056152344,-80.51509857177734
04FD,27.929372,-82.336981
04FL,29.240353,-81.222525
04G,41.130501,-80.619598
04GA,33.832365,-83.562335
04I,39.91151,-83.188577
04IA,41.08829879760742,-92.05460357666016
04ID,43.877015,-116.538365
04IL,40.6375007629,-89.0070037842
04IN,41.701389,-85.113056
04IS,40.1786003112793,-88.56900024414062
04KS,37.398547,-100.037094
04KY,37.135101318359375,-85.78939819335938
04LA,30.051001,-90.703848
04LS,30.44610023498535,-91.10530090332033
04M,33.930038,-89.343266
04MA,42.810908,-71.140959
04MD,39.51810073852539,-75.82140350341797
04ME,44.66669845581055,-69.8938980102539
04MI,42.53450012207031,-84.62830352783203
04MN,47.985801696777344,-94.68689727783205
04MO,39.043,-94.486
04MS,32.940537,-90.836683
04MT,47.13749777779999,-106.488095
04NC,35.739200592,-78.7822036743
04NE,41.1599998474,-101.299003601
04NJ,39.5968017578,-75.2334976196
04NR,34.775671,-77.392244
04NV,35.7555007935,-115.665000916
04NY,42.262298584,-73.6961975098
04OG,45.530833,-123.085556
04OH,41.237698,-81.815443
04OK,36.1152992249,-97.079498291
04OR,44.7499008179,-120.200996399
04PA,39.87929916379999,-75.2287979126
04PN,40.0306619,-75.63021
04SC,34.842188,-82.60714
04SD,44.993013,-101.24311
04TE,29.699687,-95.39069
04TN,36.1833000183,-82.67890167239999
04TS,30.553284,-97.605358
04TT,29.713072,-99.545642
04TX,31.732779,-97.369326
04UT,37.006689,-110.794701
04V,38.099083,-106.174389
04VA,36.898246,-82.078477
04VG,37.706546,-77.201621
04VT,44.4011001587,-72.26360321039999
04W,46.0228,-92.895401
04WA,47.581795,-117.437131
04WI,42.523399353,-88.0167007446
04WN,46.95835,-119.63864
04WV,39.6536111111,-79.9561111111
04XA,33.283933,-98.402861
04Y,46.883801,-96.350304
05AA,57.5149,-134.945999
05AK,61.66830063,-149.1880035
05AL,31.2311992645,-85.64969635010002
05AN,64.960472,-147.601092
05AR,36.000633,-93.57025
05AZ,32.683452,-114.634346
05B,47.158901,-67.931999
05C,41.519798,-87.399498
05CA,34.136516,-118.714685
05CL,38.6106987,-122.39099884
05CO,40.214984,-104.984423
05CT,41.7737007141,-73.1162033081
05D,47.966996,-102.477997
05FA,30.91889953613281,-86.21829986572266
05FD,25.960899353027344,-80.13919830322266
05FL,26.52018,-81.41031
05GA,32.0713996887207,-84.71440124511719
05IA,43.13750076293945,-93.06829833984376
05ID,45.914101,-114.835999
05IL,41.156700134277344,-88.0167007446289
05IN,39.641998291015625,-86.50420379638672
05IS,39.72589874267578,-89.26399993896484
05K,60.198567,-154.322789
05KS,37.26620101928711,-95.95919799804688
05KT,38.187091,-84.93011
05KY,37.53575,-84.407303
05LA,32.265301,-91.6978
05LL,41.749228,-87.935783
05LS,31.252148,-92.47569
05M,34.71979,-97.214237
05MA,42.691200256347656,-70.91230010986328
05MD,39.244232,-76.198661
05ME,44.65700149536133,-67.55919647216797
05MI,42.236433,-83.276421
05MN,47.5175001,-92.2302778
05MO,40.172019,-92.212508
05MS,32.32973,-90.16273
05MT,45.815368,-111.152163
05N,35.482164,-77.355904
05NC,34.758387,-76.644701
05NE,41.7221984863,-98.3089981079
05NH,42.92390060424805,-70.95140075683594
05NJ,40.713385,-74.03203
05NR,36.168415,-79.276908
05NV,39.0311,-114.088219
05NY,43.55199813842773,-76.09020233154297
05OG,44.059531,-123.118951
05OH,40.184513,-81.920564
05OI,41.28839874267578,-81.96260070800781
05OK,35.471364,-98.541708
05OR,45.44428,-117.34722
05PA,39.9548,-75.178201
05PN,40.30009841918945,-76.85800170898438
05PS,40.143075,-77.86221
05S,45.85150146484375,-123.24199676513672
05TA,29.80909919738769,-96.26509857177734
05TE,30.72209930419922,-97.79139709472656
05TN,35.142213,-90.031607
05TS,33.12929916381836,-97.3585968017578
05TX,32.128974,-97.404582
05U,39.6041984558,-116.004997253
05UT,37.288084,-113.696944
05V,37.411098,-105.552002
05VA,37.22420120239258,-78.4186019897461
05VT,45.013301849365234,-73.08670043945312
05WA,47.64820098876953,-117.41400146484376
05WI,42.651100158691406,-88.74590301513672
05WN,48.702222,-118.0475
05XA,35.863631,-101.970944
05XS,33.079498,-91.561391
05Y,46.303799,-95.439499
06A,32.460499,-85.680002
06AA,60.540256,-150.813827
06AK,61.627619,-149.575331
06AL,31.388399124145508,-85.97239685058594
06AN,60.733784,-151.213632
06AR,35.54449844360352,-92.18489837646484
06AZ,33.287759,-111.751454
06B,44.907001,-68.805
06C,41.9892997742,-88.1011962891
06CA,34.868942,-116.832024
06CL,34.15732,-118.2888
06CO,37.385754,-103.691482
06D,48.8843,-99.620903
06FA,26.90839958190918,-80.32890319824219
06FD,28.641700744628903,-81.88500213623047
