feature,importance
cont__airline_delay_rate,0.027472148
cat__origin_airport_LPPT,0.024300067
cat__destination_airport_MPTO,0.02151964
cat__destination_airport_SKBO,0.018143827
cat__origin_airport_SKBO,0.014798403
cat__airline_AZU,0.014639136
cat__destination_airport_EGLL,0.014238941
cat__airline_SID,0.0135004455
cont__hour_delay_rate,0.013027617
cont__origin_volume,0.012878805
cat__origin_airport_SBBR,0.0118927825
cat__destination_airport_SPJC,0.011171563
cat__origin_airport_SPJC,0.010853852
cat__origin_airport_SBSP,0.010392523
cat__destination_airport_LPPT,0.010240549
cat__origin_airport_SBFZ,0.010088734
cat__destination_airport_HAAB,0.010007999
cat__airline_AAL,0.009812603
cat__destination_airport_KMIA,0.00971732
cat__origin_airport_HAAB,0.009512549
cat__origin_airport_SBCJ,0.008586095
cat__origin_airport_SBHT,0.008569134
cat__airline_SWR,0.008513257
cat__destination_airport_SBRJ,0.008230099
cat__origin_airport_SCEL,0.008111691
cat__destination_airport_EDDF,0.0081110895
cat__airline_TTL,0.0081023555
cat__destination_airport_SBLO,0.007944446
cat__airline_AVA,0.0073481593
cat__destination_airport_SBBE,0.007319754
cat__origin_airport_SBRB,0.0073016956
cont__hour_sin,0.0071042078
cat__airline_UAL,0.0070690135
cat__origin_airport_SBPA,0.0069005126
cat__airline_ITY,0.0066638472
cat__destination_airport_SBPS,0.006592189
cat__origin_airport_SAEZ,0.0065871254
bin__is_last_wave,0.0065444442
cat__origin_airport_KMCO,0.006363419
cat__origin_airport_SBRF,0.006252738
cat__airline_DAL,0.006236402
cat__origin_airport_KIAH,0.006113924
cat__origin_airport_SBBE,0.0060030282
cont__route_volume,0.0059865196
cat__origin_airport_SBEG,0.0059227836
cat__origin_airport_SBFN,0.005842496
cat__destination_airport_SBKP,0.0057810983
cat__origin_airport_SBJV,0.005731984
cat__origin_airport_KMIA,0.0056444807
cat__destination_airport_SABE,0.0054994887
cat__origin_airport_KEWR,0.005458955
cat__airline_BOV,0.005309821
cat__airline_SKX,0.005249301
cat__origin_airport_SBCO,0.0051488737
cat__destination_airport_SBUY,0.0050520133
cat__destination_airport_KIAH,0.005020485
cat__destination_airport_GVAC,0.00501223
cat__origin_airport_SBGO,0.0049944147
cat__destination_airport_SBSP,0.0049941135
cat__origin_airport_SNTS,0.004978142
cat__airline_ETH,0.004906704
cat__origin_airport_MPTO,0.0049016033
cat__airline_JES,0.0048898906
cat__destination_airport_SBIL,0.0048546
cont__hour_cos,0.0048360154
cat__origin_airport_SBSV,0.0047993073
cat__origin_airport_SBKP,0.004738007
cat__origin_airport_SBRJ,0.00457051
cat__destination_airport_SGAS,0.004470575
cat__airline_TAM,0.004347801
cat__destination_airport_SBFN,0.004304252
cont__destination_volume,0.004270825
cat__origin_airport_SBIL,0.004192316
cat__origin_airport_LEMD,0.00418883
cat__airline_CMP,0.004178058
cat__airline_ARG,0.0041505806
cat__destination_airport_SWLC,0.0041502034
cat__destination_airport_SBEG,0.0040973616
cat__origin_airport_SBVT,0.0040373933
cat__airline_LAN,0.0040271753
cat__airline_GLO,0.003895193
cat__destination_airport_SBCY,0.0037967102
cat__airline_PTB,0.0037672364
cat__origin_airport_SBCY,0.0036029536
cat__destination_airport_SBCZ,0.0035229297
cat__origin_airport_SBRP,0.0034973333
cat__origin_airport_SBTE,0.0034831057
cat__origin_airport_SBSN,0.0034764863
cat__destination_airport_SBFZ,0.0034617973
cat__destination_airport_SBBR,0.0034482481
bin__is_first_wave,0.0034251204
cat__airline_LPE,0.0034209946
cat__destination_airport_SBTT,0.0034186922
cat__origin_airport_LIMC,0.003400697
cat__airline_SKU,0.0034005663
cat__destination_airport_SBCF,0.0033980275
cat__destination_airport_LFPG,0.003349458
cat__origin_airport_SUMU,0.003343406
cat__origin_airport_LTFM,0.0033398853
cat__origin_airport_SBMO,0.0032424212
cat__origin_airport_SBPV,0.0032391974
cat__origin_airport_SBPJ,0.0032326852
cat__origin_airport_KBOS,0.0032176564
cat__destination_airport_SBPJ,0.0031105727
cat__destination_airport_KATL,0.0030689589
cat__destination_airport_SSOU,0.0030671638
